text,label,label_name,source,sarcasm_type,hate_type
আপু আপনারে না হিমু রূপা গ্রুপেও দেখলাম৷,2,Implicit Hateful,BenSarc,Sarcasm,None
সেফাদ সনজায তুই রাজাকার ছিলি বাংলায় ডুক্লেই ফাঁশি দেওয়া হবে সালা দড়ি দিয়ে বেঁধে জোলান হবে কত মদ পান করিস ও বে আমি মুতে দিলে গণদে মাতল হয়ে যাবি,1,Explicit Hateful,BD_SHS,None,Offensive
ছাগল কোথাকার !,1,Explicit Hateful,BD_SHS,None,Abusive
তুই একটা ভন্ড ?,0,Not Hateful,BD_SHS,None,Non-hateful
কে বলছে পপি বক বক তুই করতেছিস মিথ্যা কথা বলতে লজ্জা করেন পতিতার বচ্চা পতিতা পপি বলে থাকলে তার নিজের মুখে বলছে প্রমান কর প্রমাণ করতে না পারলে জুতা পেটা করবো খানকি তোকে টাকা এভাবে কামাই করতে হবেনা তোর নিচ তলা ভাড়া দিলে তো দুতলা করতে পারবি,1,Explicit Hateful,BD_SHS,None,Abusive
প্রথমে ওকে সবাই মিলে মারার দরকার ছিলওকে বছরের জেল দেওয়া উচিত,1,Explicit Hateful,BD_SHS,None,Offensive
বুকের ভেতর আছে প্রান । ! তার ভেতরে মেশিনগান।,2,Implicit Hateful,BenSarc,Humor,None
শ্রাবন্তীর বিরুদ্ধে মামলা করার মাধ্যমে তার নতুন হবু বয়ফ্রেন্ডের অধিকার হরণ করা হয়েছে আমি মুক্তিযুদ্ধের স্বপক্ষের শক্তি হিসাবে তীব্র নিন্দা ও প্রতিবাদ জানাই ।,2,Implicit Hateful,BenSarc,Sarcasm,None
ঠিম বলেছেন ওবাইদুল কাদের অক্সফোর্ডে পড়েছিল এবং তাকে আমেরিকা তাদের প্রেসিডেন্ট হতে বলেছিলো কিন্তু বাংলাদেশের প্রতি ভালোবাসা সব কিছু তুচ্ছ করে দেশে এসে মন্ত্রী হয়েছিলো,2,Implicit Hateful,BanglaSarc3,Metaphore,None
করুন দৃশ্য খুব খারাপ লাগল বিচার চাই ঈশ্বর,0,Not Hateful,BD_SHS,None,Non-hateful
ভালবাসার মানুষ যতোই দূরে থাকুকনা কেনো কখনো মনে হবে না যে সে দূরে আছে যদি সে অনুভবে মিশে থাকে । ভালবাসা মানে আবেগের পাগলামি ভালবাসা মানে কিছুটা দুষ্টামি ।ভালবাসা মানে শুধু কল্পনাতে ডুবে থাকা ভালবাসা মানে অন্যের মাঝে নিজের ছায়া দেখা ।,0,Not Hateful,BD_SHS,None,Non-hateful
তোমাদের একটা অনুরোধ করি তোমরা আয়াতের অনুবাদ টা যদি পড়ে শোনাতে তাহলে মূরখো লোকদের বুঝতে সহজ হতো ধন্যবাদ।,0,Not Hateful,BD_SHS,None,Non-hateful
এমনিতেই তো কানা মনে হচ্ছে আবার কি অন্ধ হবেন ভাই ।,2,Implicit Hateful,BenSarc,Sarcasm,None
এ সব হাসিনা সোনার ছেলেরা বতমান সরকারি অফিস গুলো পতিতা হয়েগে ছে,1,Explicit Hateful,BD_SHS,None,Offensive
এই খানকির পোলার বাড়ি কই রোজার মাসে ওর কাহিনি দেখে মুখ না খারাপ করে পারলাম না,1,Explicit Hateful,BD_SHS,None,Abusive
এধরনে্র আলেমদেরকে বয়কট হরা উচিত।,0,Not Hateful,BIDWESH,None,Non-hateful
জানোয়ারের বাচ্চারা সু য়োরের জরম তোদের দিককার দেই থুতু কুত্তা র দিয়ে জরম মানুষ নামে কলংক,1,Explicit Hateful,BD_SHS,None,Abusive
বকা চোদা,1,Explicit Hateful,BD_SHS,None,Offensive
তারকাচে চুদাচুদীভালো লাগে,1,Explicit Hateful,BD_SHS,None,Offensive
চিন্তা কিসের এতো তোমার লিঙ্ক পাওয়া অপেক্ষায় আছে সবাই,2,Implicit Hateful,BenSarc,Sarcasm,None
"বড়লোকেরা যা পারেনি, ভিনধর্মী হয়ে আপনি সেটা করে দেখালেন। সত্যি বলতে কি, ডক্টর যশোদা জীবন দেবনাথ দাদা একজন অসাধারণ মানবিক মানুষ। তিনি ধর্ম-বর্ণ মানেন না, দাদার কাছে সকল ধর্মের মানুষ সমান।",0,Not Hateful,ALERT,None,Non-hateful
ওর চোখে মুখে ইস্পস্ট বুজা যাচ্ছে যে প্রাকৃত পক্ষে ওএই অপরাধি,0,Not Hateful,BD_SHS,None,Non-hateful
এই খানকির পোলাদের কারনে আজ ইসলামের বদনাম হয়তেছে,1,Explicit Hateful,BD_SHS,None,Hateful
এই সালাতো থাপ্পর না জুতা দিয়ে মাইর খাবে তার নিজ সন্তান থেকে৷ সালা মরার সময় পানিও পাবে না,1,Explicit Hateful,BD_SHS,None,Abusive
সারাজীবন দুঃখের পোস্ট দেই তারপর আবার নজর দেই কিডায়,2,Implicit Hateful,BanglaSarc3,Irony,None
আরো জানোয়ার এই বৌমা গুলো,1,Explicit Hateful,BD_SHS,None,Offensive
উফ ইশ যা লাগছে না বেবিটাকে ৷,2,Implicit Hateful,BenSarc,Sarcasm,None
হাসিনাকে চোদাই করার মত একজন মানুষ ছিলেন,1,Explicit Hateful,BD_SHS,None,Abusive
দুঃখিত স্যার হাসতে পারছি না।পাশের রুমে আম্মু ঘুমাচ্ছে। কেবল খাটটাই খট খট করে কাঁপছে ��,0,Not Hateful,BD_SHS,Sarcasm,None
তরে জন্ম দিয়া তর বাপের সব চাইতে বড় ভুল ছিল রেতরে পাইলে কোন দিন,1,Explicit Hateful,BD_SHS,None,Abusive
এসব দেখার আগে মরেই গেলাম না কেন,0,Not Hateful,BD_SHS,None,Non-hateful
করোনা ইস্যু ছিল মামুনুল হক তাই মামুনুল হককে যত বেশি রিমান্ড দিবে তত বেশি মরার হার কমবে ।,2,Implicit Hateful,BenSarc,Sarcasm,None
"সব সমবেদনা অন্য ধর্মাবলম্বীদের জন্য নয়, কিছু অসহায় মুসলমানকেও দেখান যেন তারা ব্যক্তিস্বাধীনতায় বাঁচতে পারে।",0,Not Hateful,ALERT,None,Non-hateful
ভাই কামরুক কামাক্ষা,2,Implicit Hateful,BenSarc,Sarcasm,None
এইটা একটা বালের চ্যানেল এই চ্যানেলে মিথ্যা কথা বলা হচ্ছেআর এই মাগীটাও মনে হয় খারাপ লাইনের,1,Explicit Hateful,BD_SHS,None,Offensive
পাপোন মাদার চোদ ছাকিব ভাই সব সময় আপনার পাসে আছি থাকবো,1,Explicit Hateful,BD_SHS,None,Abusive
রাগ কমাতে হলে হিরো আলমের গান শুনুন ভাইসব,2,Implicit Hateful,BenSarc,Humor,None
নুর হচ্ছে আগামীর তরুণ সমাজের নেতা। যতই হেলমেট লীগ ডিম লীগ বের হোক না কেনো একদিন না একদিন তাদের বিচারের মুখোমুখি হতেই হবে ।,0,Not Hateful,BD_SHS,None,Hate
অনেকদিন দরে খুঁজে ছি,0,Not Hateful,BD_SHS,None,Non-hateful
মিথিলা আপু এতো নার্ভাস কেনো ? তাহসান কে তো অনেক সাবলীল লাগলো । ওর কথাবার্তা সব ক্লিয়ার কাট । তবে মিথিলার কথাবার্তা সবই ঝরিয়ে যাচ্ছিলো বারবার ।,0,Not Hateful,BenSarc,None,Non-hateful
আল্লাহ আপনি ডা জাকির নায়েক সাহেবকে দুনিয়া আর আখেরাতে কল্যাম করুন,0,Not Hateful,BD_SHS,None,Non-hateful
সালারা গানজা খাইয়া মুভি বানায়,1,Explicit Hateful,BD_SHS,None,Abusive
আল্লাহর গজব পরবে,1,Explicit Hateful,BD_SHS,None,Hate
নতুন বাপ প্রথম আলোর সাংবাদিক,2,Implicit Hateful,BenSarc,Sarcasm,None
বাচ্চা হবে ? ছেলে না মেয়ে ?,0,Not Hateful,BenSarc,None,Non-hateful
বুঝলাম না টিম ম্যানেজমেন্ট এতো বড়ো ভুল কিভাবে করলো কাক্কুদের না নামিয়ে,2,Implicit Hateful,BenSarc,Sarcasm,None
সেখানে করোনা নেই । মঙ্গল শোভাযাত্রা উপলক্ষে করোনা কে ছুটিতে পাঠানো হয়েছে,2,Implicit Hateful,BenSarc,Sarcasm,None
এই হালার ইমানী চিকিৎসা দেওয়া দরকার,1,Explicit Hateful,BD_SHS,None,Abusive
ভাই আমরা গাজীপুরের মানুষই বেশি প্যারায়,2,Implicit Hateful,BanglaSarc3,Sarcasm,None
কত বড় দুদু রে বাবা ।,1,Explicit Hateful,BD_SHS,None,Offensive
সাকিবের সাথে একমতখানকি মাগি লজ্জা শরম বলতে নেই,1,Explicit Hateful,BD_SHS,None,Offensive
কিন্তু এদিকে সাকিব আল হাসান খুশি যে তাকে আর পানি টানতে হচ্ছে না ।,2,Implicit Hateful,BenSarc,Humor,None
অবিনেতা শাকিব খান এর কতার সাতে একমত,0,Not Hateful,BD_SHS,None,Non-hateful
সোনামণিরা এখন থেকে বাংলাদেশ নিয়ে দুষ্টুমি কম করবা,2,Implicit Hateful,BanglaSarc3,Irony,None
মায়ের জন্য দোয়া প্রথম আলোকে ধন্যবাদ ।,0,Not Hateful,BenSarc,None,Non-hateful
খরাতি যখন কোটিপতি,0,Not Hateful,BD_SHS,Sarcasm,None
যেই কুকুরের বাচ্চা এই ভিডিও টি করেছে তাকে আগে ফাসি দেওয়া হোক কারন এই কাছটি করতে কিভাবে দিল ওর সাথে দুটি হাত ছিলো বাধা দেওয়ার জন্য কাপুরুষের দল যতসব আসে ভিডিও বানাইতে পাইলে তোরে মাইরা নিতাম আগে,1,Explicit Hateful,BD_SHS,None,Abusive
কারণ ব্যাখ্যা করেছেন ওয়াহাব ৷,0,Not Hateful,BenSarc,None,Non-hateful
ওরা নাস্তিক।,1,Explicit Hateful,BD_SHS,None,Hate
সাকিব ভাইয়ের এ সব কথায় নাস্তিকদের শরীর চিনচিন করে ব্যথা করছে । না হলে এত ভালো একটা পোস্ট করায় কেন বাজে কমেন্ট করবে ।,2,Implicit Hateful,BenSarc,Sarcasm,None
আমনহের বাড়ি নিউক্যালি ভাউ?,0,Not Hateful,BIDWESH,None,Non-hateful
কিসের দশ বছর এখনো আমি এটা করি,2,Implicit Hateful,BanglaSarc3,Sarcasm,None
জারজ লীগ,1,Explicit Hateful,BD_SHS,None,Hate
সময় টিভির বিরুদ্ধে এত অপপ্রচার চালিয়েও ডায়মন্ড বাটনটা ঠেকানো গেলো না ।,2,Implicit Hateful,BenSarc,Sarcasm,None
এখানে পুলিশের ভূমিকা প্রশংসনীয় ।,0,Not Hateful,BenSarc,None,Non-hateful
রেশমির দুধ দুই বানে বিশ কেজি,1,Explicit Hateful,BD_SHS,None,Abusive
আচ্ছা বাংলাদেশে এতো ঠান্ডা পড়তেছে তোমার রানে ঠান্ডা লাগে না বুঝি এতো পাতলা জমা পড়ে থাকো কি ভাবে জাতি জানতে চাই,0,Not Hateful,BenSarc,None,Non-hateful
জবা কি পারবে স্বর্গে যেতে ?,2,Implicit Hateful,BenSarc,Sarcasm,None
এই শিক্ষক গুলো হল ছাত্রলীগের গোলাম তাদের গালে গালে জুতা মারো তালে,1,Explicit Hateful,BD_SHS,None,Offensive
জাফর চোদার টাইম নাই,1,Explicit Hateful,BD_SHS,None,Abusive
ইসলামকে ধ্বংস করার জন্য এক হাজার নাস্তিকের চেয়ে এক জন আহলে খবিস লা মাজহাবি যথেষ্ট ।।।,1,Explicit Hateful,BD_SHS,None,Hate
মাদারচোদেরা দ্বারে দ্বারে তামশা দেখছো আর প্রতিবাদ হরার সাহস নাই খানকির পোলারা তোরা নাটক তারা কি কি ভাবছিস নাটক ভার্সেস এই মাদারচোদেরা হালা কাপুরুষের বাচ্চারা,1,Explicit Hateful,BIDWESH,None,Abusive
চেহারা দেখতে তো মুচির মতো,1,Explicit Hateful,BD_SHS,None,Offensive
তর বাড়ী কুতা লা,1,Explicit Hateful,BD_SHS,None,Offensive
মাদারচোদ তুই কাকে কি বল! আগে পুরো কাহিনী শোন! তারপর বল! বাংলাদেশ একটি মুসলিম দেশ! ইসলাম নিয়ে ঠাট্টা করার জায়গা পাওনা! তাড়াতাড়ি পোস্ট ডিলিট কর,1,Explicit Hateful,BD_SHS,None,Hate
বাইনঞ্চোদ শেষ হইয়া গেছে শালা রাজাকার,1,Explicit Hateful,BD_SHS,None,Abusive
বেকিং নিউজ পরিকল্পনা মন্ত্রীর মোবাইল ফোনে পরি মণির পর্ণ ভিডিও পাওয়া গেছে । মহামান্য ছিনতাইকারী,2,Implicit Hateful,BenSarc,Sarcasm,None
একে মেরে পালা উচিত,1,Explicit Hateful,BD_SHS,None,Offensive
সিরিয়াস মানুষের কদর নাই এল্লেগা সবাই রসিকতায় ডুবে থাকে,2,Implicit Hateful,BenSarc,Sarcasm,None
সিনেমা শিল্পে খুবই মন্দা চলছে । প্রতিনিয়ত বন্ধ হচ্ছে সিনেমা হল । অনেক শিল্পী ও কলাকৌশলী পেশা পরিবর্তন করেছেন । এসবের মধ্যেও গ্রাম থেকে উঠে আসা একজন নায়িকা কিভাবে এমন বিলাসবহুল জীবন যাপন করেন বুঝে আসে না ।,0,Not Hateful,BenSarc,None,Non-hateful
"ধর্মের স্বাধীনতা হচ্ছে বাংলাদেশের সংবিধান দ্বারা নিশ্চিত মৌলিক কাঠামো, যেখানে ধর্মীয় পার্থক্য নির্বিশেষে সকল নাগরিকের সমান অধিকারের আহ্বান জানানো হয় এবং বিভিন্ন ক্ষেএে ধর্মের বৈষম্য নিষিদ্ধ করা হয়।",0,Not Hateful,ALERT,None,Non-hateful
হাতুরে মাল চিনে ?,2,Implicit Hateful,BenSarc,Sarcasm,None
হালার গর হালারা ও ভলচে গালি দেনাই তুরা ভলচিস গালি দিচে মুসপিক কী তুরার ভাপ লাগে নটির পুয়ারা ভুজথে হয় তো ভুল হয়েচে তদের,1,Explicit Hateful,BD_SHS,None,Abusive
সাবধানে যেও পরি সৌদি বাদশা ।,2,Implicit Hateful,BenSarc,Sarcasm,None
চোদ এই খানকির পো।।,1,Explicit Hateful,BD_SHS,None,Offensive
এই মূর্খ জানোয়ার চাকুরী করে এ কথা আকাশ কুসুম কল্পনার মতোই লাগলএই কুকুর নাকি লেখা পড়া করেছেএমনিতেই ওর হাত পচে যাবে একদম বাস্তব কথাএকজন মাকে লাতি মেরেছিল পা পচে তার মূত্যু হয়েছিল,1,Explicit Hateful,BD_SHS,None,Abusive
এখনকার দিনের শিক্ষক যারা তাদেরই আসলে শিক্ষার অভাব নিজেদের শিক্ষা থাকলে তো তারা বাচ্চাদের শিক্ষা দিবে !,0,Not Hateful,BenSarc,None,Non-hateful
হাসিনার পাছায় কেউ বাশ দিলে আমারে কইয়েন ভাই মসজিদে মিলাদ দিমু ১০০০০ টাকা,2,Implicit Hateful,BanglaSarc3,Sarcasm,None
টাক্কু মাদারচদ,1,Explicit Hateful,BD_SHS,None,Abusive
পরি দেখলেই বুকের ভিতর লাড়া দেয়।,2,Implicit Hateful,BenSarc,Sarcasm,None
মঙ্গল শোভাযাত্রা এখানে মহান করোনাভাইরাস কে খুঁজে পাওয়া যাবে না । মহান করোনাভাইরাস পাওয়া যাবে মসজিদে ।,2,Implicit Hateful,BenSarc,Sarcasm,None
নায়কের নাম সাহের খান না অয়ে পাদের খান অওয়া উচিৎ আআছেলে যতসব ফালতু অভিনয়।,1,Explicit Hateful,BIDWESH,None,Abusive
খালেদ ভাই ভারত থেকে পিঁয়াজের সাথে গণতন্ত্রটা আমদানি করা যায় না,2,Implicit Hateful,BenSarc,Irony,None
সরকারের কাছে বিনিত অনুরোধ জানাচ্ছি রিয়াক্ট কমেন্ট করা মানুষ গুলোর বেতনের ব্যাবস্থা করা হোক,2,Implicit Hateful,BanglaSarc3,Humor,None
জ্বীনের মাধ্যমে বিরিয়ানি পাঠানো হয়,2,Implicit Hateful,BenSarc,Sarcasm,None
প্রথম আলোর মতো দূর্বল কিছু খোঁজবে না বলে ধারণা করা হচ্ছে ।,0,Not Hateful,BenSarc,None,Non-hateful
এটাই তো একটা মানুষ যখন ভুল করার পর সে অনুতপ্ত হয়ে ক্ষমা চাইছে তখন তাকে ক্ষমা করাই উচিত ।,0,Not Hateful,BenSarc,None,Non-hateful
খুব কষ্ট হচ্ছেওর প্রতিটা থাপ্পড় আমাকে শিউরে দিচ্ছেএরা মানুষ নামে কলঙ্কএদের ও একদিন বৃদ্ধ হতে হবেএরাও বাবা হবেভুলে গেছে সবার একদিন আসে নিতে পারছি না এই ব্যাপারটা সে নাকিশিক্ষিতচাকরিজীবী এই তো তার নমুনাবাহ রে ভাই ভালশুয়ার তোকে সামনে পেলেদেখাতাম বাবা কাকে বলেবাবা কি জিনিসবাবা কি জিনিস বোজাতম র একটা করে থাপ্পড় মারতামতোর গালে কোটি কোটি থাপ্পড় পড়তোদেখতিস তাও শেষ হতো নাবাবা নামের শব্দ টার মানে,0,Not Hateful,BD_SHS,None,Non-hateful
"জাফর সাহেব, কই পালালেন ছাত্রগুলোর এ দুর্দিনে? আপনাকে তো কিশোর গড়ার সাধক বলেই সবাই চিনে! গেলেন কোথায় সুলতানা মেম! চুপ কেন আজ দুঃসময়ে? এ্যামনে তো খুব চাঙ্গা দেখি দেশ-দরদীর চোঙ্গা লয়ে! চুপ কেন মুনতাসির সাহেব! বিজ্ঞতা আজ চুপসে গেছে? এ্যামনে তো খুব টকশো মাতান জ্ঞান গরিমার কথার প্যাঁচে! কবির সাহেব ঘুমান! নাকি চাপ বেশি মুরগির আড়তে? দেশেই ! নাকি 'তাওয়াফ' পালন ঘুরতে গেছেন ওই ভারতে? মানবতার পাহারাদার মিজান সাহেব উধাও নাকি! চাকায় পিষে ছাত্র মরে, আপনি নিখোঁজ, কারণটা কী? মুহিব খান",0,Not Hateful,BD_SHS,None,Non-hateful
মাসুদ রানা ছবিটি তে সাকিব খান শুভ অন্ত জলিল সিয়া রোশন জিত দেব এরদের থেকে যে কাউ কে নায়ক হিসেবে নিলে ভালো হত।,0,Not Hateful,BD_SHS,None,Non-hateful
তোর রেট কতো,1,Explicit Hateful,BD_SHS,None,Offensive
ইয়াহ কি বড় বড়,0,Not Hateful,BD_SHS,None,Non-hateful
পৃথিবীর কারেন্ট অ্যাফেয়ার এ সবচেয়ে বড় মিথ্যা কথা আমি রূপে নয় আন্তরিকতায় মুগ্ধ হয়েছি সবকিছুর একটা লিমিট থাকে ! এই নাও ভাই নোবেল,2,Implicit Hateful,BenSarc,Irony,None
ভাই আগে তুমি ঠিক হও তার পরে ইসলাম প্রচার করো ধন্যবাদ সবার কেমন লাগেছে সেটা জানি না কিন্তু আমার মনে হচ্ছে তুমি ইহুদিদের দালাল,0,Not Hateful,BD_SHS,None,Hate
আমি কিছুই বলবো না সময় টিভিকে যে কমেনগুলো করছে মানুষ তা তুলে ধরলে হাসিনা সরকার লজ্জা আর কথা বলবে না হাসিনার উচিৎ এখন মরে যাওয়া ষ্টক করে,0,Not Hateful,BD_SHS,None,Non-hateful
ভালো তো অপু আর শাকিব খানের আবার মিলন হলে খুবই ভালো খবর,0,Not Hateful,BD_SHS,None,Non-hateful
ক্রিকেটের সম্মানায়ক ক্রিকেটের,2,Implicit Hateful,BanglaSarc3,Sarcasm,None
তরকারীর ঝোল এর স্বাদ থেকে বাদ যাবে না কোনো শিশু থুক্কু কোনো লোম দাঁড়ি,2,Implicit Hateful,BanglaSarc3,Humor,None
পাষাণ হলে মানুষ কত কিছু না করতে পারে,2,Implicit Hateful,BanglaSarc3,Sarcasm,None
এইবার স্বপ্নে না । বাস্তবে বঙ্গবন্ধুর সাথে কথা বলতে চায় মমতাজ ।,2,Implicit Hateful,BenSarc,Humor,None
ভাইয়া ফিরে আসো । হাজারো জন তোমার পোষ্টে কমেন্ট করছে ফিরে আসো । আর ভালো মত খেলো । তোমার ফিরে আসা আমি কামনা করছি ।,0,Not Hateful,BenSarc,None,Non-hateful
এই কয়েকদিন পরি দাবি করছিলো ক্লাবে যাওয়ার পরই নাসির তাকে জোর করে মদ খাওয়াতে ছেয়েছিলো । কিন্তু খবরে সিসিটিভির টাইম হিসেব করে রিপোর্টার বললো এক দুই মিনিটে পরি সঙ্গিদের নিয়ে ক্লাবে ঢুকলেও প্রায় দেড় ঘন্টা পর তাকে কোলে করে বের করে নিয়ে আসে জিমি । তাহলে এই দেড় ঘন্টা পরি ভিতরে কি করছিলো ?,0,Not Hateful,BenSarc,None,Non-hateful
লুচ্চা হাতে দেশে চালানো কি ঠিক,1,Explicit Hateful,BD_SHS,None,Abusive
গরীবের সাত ভাই চম্পা !,2,Implicit Hateful,BenSarc,Sarcasm,None
সালারপুত এত বড় করে লেখা লিখস কেন?পড়তে পড়তে মাথা ঘুরে মাটিতে পড়ে যদি মরে যাই তার দায় বার কি তুই নিবি বাইনচুদ।,1,Explicit Hateful,BD_SHS,None,Offensive
একেই বলে মেঘ না চাইতেই বৃষ্টি । কাকলি ফার্ণিচার এখন প্রথম আলোর থাম্বনেইল ।,2,Implicit Hateful,BenSarc,Irony,None
নাস্তিক চার জানোয়ার এক বাঘ,1,Explicit Hateful,BD_SHS,None,Hate
মুই বাংলাদেশী একজন যদিও এহন প্রবাসে মূল কতা কে নিয়া এত আলোচ্য বিষয় এর কিছু নাই সে নিজেই জানেনা তাকে কেমন দ্যাকতে জয় ভাই আমনহের অনুষ্টান মুই দেইখ্যা যা মনে অইলো কে থেইক্কা বাতিল হরাই শ্রেয়।,0,Not Hateful,BIDWESH,None,Non-hateful
ঈদ শেষ ঈদ হিসেবে মেনে পরিবারের সাথে আনন্দ ভাগাভাগি করবো ।,0,Not Hateful,BenSarc,None,Non-hateful
কারো দিনের বেলায় বাইকের হেডলাইট জ্বালানো থাকলে আমি বাইকারের পিছনে দৌড়ানো শুরু করি যাতে সে আমার উপকারের কথা শুনে,2,Implicit Hateful,BenSarc,Humor,None
হয়তো এই মার্কেটের দোকানদার রা চাঁদা কম দিয়েছে ! এখন একটা উচিলা দিয়ে বন্ধ করে দিছে,0,Not Hateful,BenSarc,None,Non-hateful
শিরোনামের সঙ্গে ভিডিওর কোন মিল নেই,0,Not Hateful,BD_SHS,None,Non-hateful
অসাধারন গান বাংলায় আবার সিনেমা চালুর দাবি জানাই তার সাথে পরিবেশ সুন্দর হওয়া জরুরি। আমার খুব ভালো লাগিলো মাহি একটু মোটা হয়ে গেছে। নাচটা আরেকটু ভালো হতো!!,0,Not Hateful,BD_SHS,None,Non-hateful
বাপের জন্মে এমন মেকাপ দেখিনি । যেটা অরলে নিজের মা মেয়েকে চিনতে পারেনা,2,Implicit Hateful,BenSarc,Sarcasm,None
ফাসি দাও শালিকে,1,Explicit Hateful,BD_SHS,None,Hate
বাংলাদেশ শেষ হল শ দিয়ে আর তাকে শেষ হতে না দিয়ে তুমি শুরু করলে শ দিয়ে শাকিব । সাকিবেরা সবসময় আসেনা । শুভ জন্মদিন ।,0,Not Hateful,BenSarc,None,Non-hateful
লকডাউন তো সত্যি এবার কঠোর হচ্ছে তারপর ও শনাক্ত মৃত্যু কোনটাই কমছে না । মানুষের তো বাসা থেকে বের হলে করোনা না বের হলে অনাহারে মৃত্যু । জীবন বড়ই অসহায় । আল্লাহর রহমাত ছাড়া কোনো পথ নাই ।,0,Not Hateful,BenSarc,None,Non-hateful
জান কেমন আছে,0,Not Hateful,BD_SHS,None,Non-hateful
দালাল মিডিয়া,0,Not Hateful,BD_SHS,None,Hate
মন যা চাই তা করা যাবেনা বরং কুরআান হাদীস যেটা বলে সেটাই মানতে হবে তবেই তো আমরা সফল হবো,2,Implicit Hateful,BanglaSarc3,None,Non-hateful
এমন পোশাক আশাক নিরমাতা লোকদের জুতা দিয়া বাইরান দরকার আমি মাদার চোদদের জুতা দিয়া বাইরাই-------- পোশাকের কোন লছছম নাই।,1,Explicit Hateful,BD_SHS,None,Abusive
ভাই বদলে যাওয়ার আগে লসগুলা রিকভার করে দিও,2,Implicit Hateful,BanglaSarc3,Sarcasm,None
মানুষ এই রকম জনোআর হতে পারেআগে জানা ছিল না,0,Not Hateful,BD_SHS,None,Hate
দায়িত্বে চরম অবহেলার জন্য এই ইউএনও র সাথেও চরম দুষ্টুমি করা প্রয়োজন !,2,Implicit Hateful,BenSarc,Humor,None
মিন্নীকে অবিলম্বে গ্রেপ্তার করা হক,0,Not Hateful,BD_SHS,None,Non-hateful
দুইজনকেই জাদুঘরে রাখা হবে এইসব কিছুর জন্য,2,Implicit Hateful,BenSarc,Sarcasm,None
কত টাকা লাগলো এই লিস্টে নাম উঠানোর জন্য ?,0,Not Hateful,BenSarc,None,Non-hateful
ভুড়ি দেখে শান্তি পাইলাম আমারটা এরচেয়ে কম,2,Implicit Hateful,BenSarc,Sarcasm,None
বাবা কে মারলে শে হিনদু হক মুছলিম হেক ঔকে ফাশি দিবা আমার অনুরদ,0,Not Hateful,BD_SHS,None,Non-hateful
পাপন শালা বাবুএখানে শুধু টাকার কথা বলা হয়নি,0,Not Hateful,BD_SHS,None,Non-hateful
কমপ্লিট চুতিয়া।,1,Explicit Hateful,BD_SHS,None,Offensive
অই মাদারচুদ মেডিয়া কি লেখলি মাদারচুদ মুরখর দল পোস্ট ডিলিট কর,1,Explicit Hateful,BD_SHS,None,Offensive
